Normalized.Title,Normalized.Creator,Work.In.Norton,Checkouts
The Simulacra,Philip K. Dick,False,247
Seven Guitars,August Wilson,False,247
Self,John Updike,True,246
Seek My Face,John Updike,False,245
Call If You Need Me,Raymond Carver,False,245
A Small Place,Jamaica Kincaid,False,245
The Range Eternal,Louise Erdrich,False,245
"Gorilla, My Love",Toni Cade Bambara,False,242
Voices From The Street,Philip K. Dick,False,242
Poems,Sylvia Plath,False,242
The Death Of Sitting Bear,N. Scott Momaday,False,241
When She Was Good,Philip Roth,False,241
The Essential Ginsberg,Allen Ginsberg,False,241
Playlist For The Apocalypse,Rita Dove,False,240
Musical Tables,Billy Collins,False,239
Riprap,Gary Snyder,True,239
Middle C,William H. Gass,False,238
How To Carry Water,Lucille Clifton,False,238
Collected Poems 1950,Adrienne Rich,False,236
A Village Life,Louise Glück,False,235
The Transmigration Of Timothy Archer,Philip K. Dick,False,235
Operation Shylock,Philip Roth,False,234
